,title,author,price
0,"1,001 Ways to Be Creative",Barbara Ann Kipfer,0.0
1,10 Days to More Confident Public Speaking,Princeton Language Institute,11.0
2,10 Natural Laws of Successful Time and Life Management,A. Smith,10.5
3,10 Things I Can See From Here,Carrie Mac,11.0
4,100 Successful College Application Essays,The Harvard Independent,10.0
5,1001 Ways to Energize Employees,Robert B. Nelson,0.0
6,"13 Things Mentally Strong Women Don’t Do : Own Your Power, Channel Your Confidence, and Find Your Authentic Voice for a Life of Meaning and Joy",Amy Morin,0.0
7,"14,000 Things to be Happy About",Barbara Ann Kipfer,9.0
8,150 Best Interior Design Ideas,Francesc Zamora,0.0
9,16% off Maximum Achievement : Strategies and Skills that Will Unlock Your Hidden Powers to Succeed,Brian Tracy,10.0
10,"18 Minutes: Find Your Focus, Master Distraction, and Get the Right Things Done",Peter Bregman,10.0
11,21 Secrets of Million-Dollar Sellers : America’s Top Earners Reveal the Keys to Sales Success,Stephen J Harvill,11.0
12,21 Secrets of Million-Dollar Sellers: America’s Top Earners Reveal the Keys to Sales Success,Stephen Harvill,12.0
13,"30-Second Architecture :The 50 Most Signicant Principles and Styles in Architecture, each Explained in Half a Minute",Edward Denison,10.0
14,40 Chances: Finding Hope in a Hungry World,Howard G. Buffett,6.0
15,"417 More Games, Puzzles & Trivia Challenges Specially Designed To Keep Your Brain Young",Nancy Linde,0.0
16,"5-MINUTE CALM: A MORE PEACEFUL, RESTED, AND RELAXED YOU IN JUST 5 MINUTES A DAY",Adams Media,9.0
17,50 Successful Harvard Application Essays:,Staff of the Harvard Crimson,10.0
18,7 habits of highly effective people,Stephen R. Covey,10.0
19,7 habits of highly effective teens,Sean Covey,10.0
20,"A Call to Action : Women, Religion, Violence, and Power",Jimmy Carter,5.0
21,A Conspiracy of Princes,Justin Somper,8.0
22,A Free State : A Novel,Tom Piazza,6.0
23,A Mighty Purpose : How UNICEF’s James P. Grant Sold the World on Saving Its Children,Adam Fifield,11.0
24,A Storm of Swords,George R R Martin,9.0
25,A Walk Across the Sun,Corban Addison,5.0
26,"After the Music Stopped : The Financial Crisis, the Response, and the Work Ahead",Alan S. Blinder,5.0
27,Alibaba : The House That Jack Ma Built,Duncan Clark,12.0
28,"All In: How Our Work-First Culture Fails Dads, Families, and Businesses—And How We Can Fix It Together",Josh Levs,7.0
29,An Apprentice to Elves,Sarah Monette,9.0
30,Anna and the Swallow Man,Gavriel Savit,5.0
31,Anne & Henry,Dawn Ius,5.0
32,Another Summer,Georgia Bockoven,3.0
33,At Home In Exile,Alan Wolfe,6.0
34,Audacity,Jeff Mack,8.0
35,Awaken the Giant Within,Tony Robbins,10.5
36,"Baby, Don’t Go",Susan Andersen,4.0
37,Be Excellent at Anything: The Four Keys To Transforming the Way We Work and Live,Tony Schwartz,10.5
38,Be Fearless: 5 Principles for a Life of Breakthroughs and Purpose,Jean Case,12.0
39,Be Frank with Me : A Novel,Julia Claiborne Johnson,7.5
