,Date,Open,High,Low,Close,Adj Close,Volume
0,12/1/2003,"3,850.40","3,850.40","3,850.40","3,850.40","3,850.40",-
1,12/2/2003,"3,844.30","3,844.30","3,844.30","3,844.30","3,844.30",-
2,12/3/2003,"3,849.30","3,849.30","3,849.30","3,849.30","3,849.30",-
3,12/4/2003,"3,847.10","3,847.10","3,847.10","3,847.10","3,847.10",-
4,12/5/2003,"3,848.80","3,848.80","3,848.80","3,848.80","3,848.80",-
5,12/8/2003,"3,849.90","3,849.90","3,849.90","3,849.90","3,849.90",-
6,12/9/2003,"3,852.30","3,852.30","3,852.30","3,852.30","3,852.30",-
7,12/10/2003,"3,850.80","3,850.80","3,850.80","3,850.80","3,850.80",-
8,12/11/2003,"3,849.10","3,849.10","3,849.10","3,849.10","3,849.10",-
9,12/12/2003,"3,851.60","3,851.60","3,851.60","3,851.60","3,851.60",-
10,12/15/2003,"3,850.00","3,850.00","3,850.00","3,850.00","3,850.00",-
11,12/16/2003,"3,849.40","3,849.40","3,849.40","3,849.40","3,849.40",-
12,12/17/2003,"3,855.20","3,855.20","3,855.20","3,855.20","3,855.20",-
13,12/18/2003,"3,855.80","3,855.80","3,855.80","3,855.80","3,855.80",-
14,12/19/2003,"3,848.00","3,848.00","3,848.00","3,848.00","3,848.00",-
15,12/22/2003,"3,852.50","3,852.50","3,852.50","3,852.50","3,852.50",-
16,12/23/2003,"3,853.30","3,853.30","3,853.30","3,853.30","3,853.30",-
17,12/24/2003,-,-,-,-,-,-
18,12/25/2003,-,-,-,-,-,-
19,12/26/2003,-,-,-,-,-,-
20,12/29/2003,"3,854.30","3,854.30","3,854.30","3,854.30","3,854.30",-
21,12/30/2003,"3,854.60","3,854.60","3,854.60","3,854.60","3,854.60",-
22,12/31/2003,"3,817.70","3,817.70","3,817.70","3,817.70","3,817.70",-
23,1/1/2004,-,-,-,-,-,-
24,1/2/2004,"3,856.00","3,856.00","3,856.00","3,854.10","3,854.10",-
25,1/5/2004,"3,855.00","3,855.00","3,855.00","3,855.00","3,855.00",-
26,1/6/2004,"3,852.80","3,852.80","3,852.80","3,852.80","3,852.80",-
27,1/7/2004,"3,853.90","3,853.90","3,853.90","3,853.90","3,853.90",-
28,1/8/2004,"3,846.60","3,846.60","3,846.60","3,846.60","3,846.60",-
29,1/9/2004,"3,857.60","3,857.60","3,857.60","3,857.60","3,857.60",-
30,1/12/2004,"3,855.90","3,855.90","3,855.90","3,855.90","3,855.90",-
31,1/13/2004,"3,855.50","3,855.50","3,855.50","3,855.50","3,855.50",-
32,1/14/2004,"3,854.40","3,854.40","3,854.40","3,854.40","3,854.40",-
33,1/15/2004,"3,854.20","3,854.20","3,854.20","3,854.20","3,854.20",-
34,1/16/2004,"3,859.80","3,859.80","3,859.80","3,859.80","3,859.80",-
35,1/19/2004,"3,848.50","3,848.50","3,848.50","3,848.50","3,848.50",-
36,1/20/2004,"3,846.30","3,846.30","3,846.30","3,846.30","3,846.30",-
37,1/21/2004,"3,849.60","3,849.60","3,849.60","3,851.00","3,851.00",-
38,1/22/2004,"3,855.90","3,855.90","3,855.90","3,855.90","3,855.90",-
39,1/23/2004,"3,861.10","3,861.10","3,861.10","3,861.10","3,861.10",-
40,1/26/2004,"3,856.20","3,856.20","3,856.20","3,856.20","3,856.20",-
41,1/27/2004,"3,850.80","3,850.80","3,850.80","3,850.80","3,850.80",-
42,1/28/2004,"3,856.40","3,856.40","3,856.40","3,856.40","3,856.40",-
43,1/29/2004,"3,855.10","3,855.10","3,855.10","3,855.10","3,855.10",-
44,1/30/2004,"3,847.20","3,847.20","3,847.20","3,847.20","3,847.20",-
45,2/2/2004,"3,848.50","3,848.50","3,848.50","3,848.50","3,848.50",-
46,2/3/2004,"3,854.60","3,854.60","3,854.60","3,854.60","3,854.60",-
47,2/4/2004,"3,854.60","3,854.60","3,854.60","3,854.60","3,854.60",-
48,2/5/2004,"3,852.80","3,852.80","3,852.80","3,852.80","3,852.80",-
49,2/6/2004,"3,853.80","3,853.80","3,853.80","3,853.80","3,853.80",-
50,2/9/2004,"3,856.50","3,856.50","3,856.50","3,874.10","3,874.10",-
51,2/10/2004,"3,855.00","3,855.00","3,855.00","3,855.00","3,855.00",-
52,2/11/2004,"3,853.50","3,853.50","3,853.50","3,853.50","3,853.50",-
53,2/12/2004,"3,855.70","3,855.70","3,855.70","3,855.70","3,855.70",-
54,2/13/2004,"3,856.50","3,856.50","3,856.50","3,856.50","3,856.50",-
55,2/16/2004,"3,855.90","3,855.90","3,855.90","3,855.90","3,855.90",-
56,2/17/2004,"3,858.10","3,858.10","3,858.10","3,858.10","3,858.10",-
57,2/18/2004,"3,859.20","3,859.20","3,859.20","3,859.20","3,859.20",-
58,2/19/2004,"3,855.60","3,855.60","3,855.60","3,855.60","3,855.60",-
59,2/20/2004,"3,853.80","3,853.80","3,853.80","3,853.80","3,853.80",-
60,2/23/2004,"3,854.30","3,854.30","3,854.30","3,854.30","3,854.30",-
61,2/24/2004,"3,853.70","3,853.70","3,853.70","3,853.70","3,853.70",-
62,2/25/2004,"3,859.30","3,859.30","3,859.30","3,859.30","3,859.30",-
63,2/26/2004,"3,852.10","3,852.10","3,852.10","3,852.10","3,852.10",-
64,2/27/2004,"3,851.80","3,851.80","3,851.80","3,851.80","3,851.80",-
65,3/1/2004,"3,854.60","3,854.60","3,854.60","3,854.60","3,854.60",-
66,3/2/2004,"3,855.20","3,855.20","3,855.20","3,855.20","3,855.20",-
67,3/3/2004,"3,857.90","3,857.90","3,857.90","3,857.90","3,857.90",-
68,3/4/2004,"3,856.00","3,856.00","3,856.00","3,856.00","3,856.00",-
69,3/5/2004,"3,851.00","3,851.00","3,851.00","3,851.00","3,851.00",-
70,3/8/2004,"3,855.30","3,855.30","3,855.30","3,855.30","3,855.30",-
71,3/9/2004,"3,851.40","3,851.40","3,851.40","3,851.40","3,851.40",-
72,3/10/2004,"3,851.40","3,851.40","3,851.40","3,848.10","3,848.10",-
