,mark,model,year,type,condition,fuel,Transmission,color,price
0,Car Makes:Ford,Car Model:Ranger Wildtrak,Year:2019,Tax Type:Plate Number,Condition:Used,Fuel:Diesel,Transmission:Auto,Color:White,"$36,500"
1,Car Makes:Toyota,Car Model:Tacoma,Year:2007,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Petrol,Transmission:Auto,"$14,800"
2,Car Makes:Lexus,Car Model:RX330,Year:2004,Tax Type:Plate Number,Condition:Used,Body Type:Sports,Fuel:Petrol,Transmission:Auto,"$25,000"
3,Car Makes:Kia,Car Model:Morning,Year:2020,Tax Type:Plate Number,Condition:Used,Body Type:Other,Fuel:Petrol,Transmission:Auto,"$16,400.00"
4,Car Makes:Toyota,Car Model:Alphard,Year:2015,Tax Type:Tax Paper,Condition:New,Body Type:MPV (Minivan),Fuel:Petrol,Transmission:Auto,"$76,500"
5,Car Makes:Lexus,Car Model:LX450d,Year:2016,Tax Type:Plate Number,Condition:Used,Fuel:Diesel,Transmission:Auto,Color:Black,"$125,800"
6,Car Makes:Lexus,Car Model:RX350,Year:2016,Tax Type:Tax Paper,Condition:New,Body Type:Other,Fuel:Petrol,Color:Other,"$85,500"
7,Car Makes:Lexus,Car Model:RX350,Year:2016,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$69,500"
8,Car Makes:Mazda,Car Model:Mazda2,Year:2023,Tax Type:Tax Paper,Condition:New,Body Type:Hatchback,Fuel:Petrol,Transmission:Auto,"$24,900.00"
9,Car Makes:Toyota,Car Model:Prius,Year:2010,Tax Type:Tax Paper,Condition:New,Body Type:Sedan,Fuel:Hybrid,Transmission:Auto,"$18,800"
10,Car Makes:Hyundai,Car Model:Truck,Year:1997,Tax Type:Plate Number,Condition:Used,Body Type:Other,Fuel:Diesel,Transmission:Manual,"$6,200"
11,Car Makes:Kia,Car Model:Truck,Year:1999,Tax Type:Plate Number,Condition:Used,Body Type:Other,Fuel:Diesel,Transmission:Manual,"$8,500"
12,Car Makes:BMW,Car Model:X5,Year:2002,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$5,800"
13,Car Makes:Lexus,Car Model:RX330,Year:2004,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$24,500"
14,Car Makes:Toyota,Car Model:Camry,Year:2002,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$10,200.00"
15,Car Makes:Mitsubishi,Car Model:Other - ផ្សេងៗ,Year:2015,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$11,800"
16,Car Makes:Toyota,Car Model:Highlander,Year:2003,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$19,500"
17,Car Makes:BMW,Car Model:5 Series,Year:2015,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$36,500"
18,Car Makes:BMW,Car Model:5 Series,Year:2015,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$36,500"
19,Car Makes:Toyota,Car Model:Vitz,Year:2008,Tax Type:Tax Paper,Condition:New,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$8,400"
20,Car Makes:Mitsubishi,Car Model:Triton,Year:2019,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Diesel,Transmission:Auto,"$23,000"
21,Car Makes:Toyota,Car Model:Vellfire,Year:2010,Tax Type:Tax Paper,Condition:New,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$28,500"
22,Car Makes:Toyota,Car Model:Vitz,Year:2008,Tax Type:Tax Paper,Condition:New,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$8,500"
23,Car Makes:Lexus,Car Model:RX400h,Year:2007,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Hybrid,Transmission:Auto,"$23,500"
24,Car Makes:Toyota,Car Model:Prius,Year:2006,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Hybrid,Transmission:Auto,"$12,700"
25,Car Makes:Toyota,Car Model:Alphard,Year:2010,Tax Type:Tax Paper,Condition:New,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$30,800"
26,Car Makes:Toyota,Car Model:Vitz,Year:2011,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$10,500"
27,Car Makes:Ford,Car Model:Ranger Wildtrak,Year:2021,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Diesel,Transmission:Auto,"$41,900"
