,Price,Location,Bedroom,Bathroom,Floor_area,Time
0,"$160,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 90m²,2 weeks ago
1,"$200,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 3, 110m²,2 weeks ago
2,"$115,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 85m²,2 weeks ago
3,"$185,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 2, 120m²,2 weeks ago
4,"$80,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 1, 1, 51m²,2 weeks ago
5,"$135,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 95m²,2 weeks ago
6,"$85,000"," Tonle Bassac, Chamkarmon, Phnom Penh", 1, 1, 50m²,2 weeks ago
7,"$225,000"," Veal Vong, 7 Makara, Phnom Penh", 2, 2, 103m²,2 weeks ago
8,"$98,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 1, 3000m²,2 weeks ago
9,"$270,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2,N/A,2 weeks ago
10,"$1,318,438","Dabest Properties, Tonle Bassac, Chamkarmon, Phnom Penh", 4, 3, 323m²,2 weeks ago
11,"$148,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2, 64m²,2 weeks ago
12,"$170,000","Chamkarmon, Phnom Penh", 2, 2, 48m²,2 weeks ago
13,"$330,000"," BKK 1, Chamkarmon, Phnom Penh",N/A,N/A, 68m²,2 weeks ago
14,"$170,000"," BKK 1, Chamkarmon, Phnom Penh", 1, 1,N/A,2 weeks ago
15,"$99,999"," Veal Vong, 7 Makara, Phnom Penh", 1, 1, 53m²,2 weeks ago
16,"$132,110","Properties Dabest, Nirouth, Chbar Ampov, Phnom Penh", 2, 1, 74m²,2 weeks ago
17,"$114,000","Dabest Properties, Nirouth, Chbar Ampov, Phnom Penh", 1, 1, 65m²,2 weeks ago
18,"$40,000"," Boeung Kak 1, Toul Kork, Phnom Penh",N/A,N/A,N/A,2 weeks ago
19,"$160,848"," BKK 1, Chamkarmon, Phnom Penh", 2, 1,N/A,2 weeks ago
20,"$160,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 90m²,2 weeks ago
21,"$200,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 3, 110m²,2 weeks ago
22,"$115,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 85m²,2 weeks ago
23,"$185,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 2, 120m²,2 weeks ago
24,"$80,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 1, 1, 51m²,2 weeks ago
25,"$135,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 95m²,2 weeks ago
26,"$85,000"," Tonle Bassac, Chamkarmon, Phnom Penh", 1, 1, 50m²,2 weeks ago
27,"$225,000"," Veal Vong, 7 Makara, Phnom Penh", 2, 2, 103m²,2 weeks ago
28,"$98,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 1, 3000m²,2 weeks ago
29,"$270,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2,N/A,2 weeks ago
30,"$1,318,438","Dabest Properties, Tonle Bassac, Chamkarmon, Phnom Penh", 4, 3, 323m²,2 weeks ago
31,"$148,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2, 64m²,2 weeks ago
32,"$170,000","Chamkarmon, Phnom Penh", 2, 2, 48m²,2 weeks ago
33,"$330,000"," BKK 1, Chamkarmon, Phnom Penh",N/A,N/A, 68m²,2 weeks ago
34,"$170,000"," BKK 1, Chamkarmon, Phnom Penh", 1, 1,N/A,2 weeks ago
35,"$99,999"," Veal Vong, 7 Makara, Phnom Penh", 1, 1, 53m²,2 weeks ago
36,"$132,110","Properties Dabest, Nirouth, Chbar Ampov, Phnom Penh", 2, 1, 74m²,2 weeks ago
37,"$114,000","Dabest Properties, Nirouth, Chbar Ampov, Phnom Penh", 1, 1, 65m²,2 weeks ago
38,"$40,000"," Boeung Kak 1, Toul Kork, Phnom Penh",N/A,N/A,N/A,2 weeks ago
39,"$160,848"," BKK 1, Chamkarmon, Phnom Penh", 2, 1,N/A,2 weeks ago
40,"$160,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 90m²,2 weeks ago
41,"$200,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 3, 110m²,2 weeks ago
42,"$115,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 85m²,2 weeks ago
43,"$185,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 2, 120m²,2 weeks ago
44,"$80,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 1, 1, 51m²,2 weeks ago
45,"$135,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 95m²,2 weeks ago
46,"$85,000"," Tonle Bassac, Chamkarmon, Phnom Penh", 1, 1, 50m²,2 weeks ago
47,"$225,000"," Veal Vong, 7 Makara, Phnom Penh", 2, 2, 103m²,2 weeks ago
48,"$98,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 1, 3000m²,2 weeks ago
49,"$270,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2,N/A,2 weeks ago
50,"$1,318,438","Dabest Properties, Tonle Bassac, Chamkarmon, Phnom Penh", 4, 3, 323m²,2 weeks ago
51,"$148,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2, 64m²,2 weeks ago
52,"$170,000","Chamkarmon, Phnom Penh", 2, 2, 48m²,2 weeks ago
53,"$330,000"," BKK 1, Chamkarmon, Phnom Penh",N/A,N/A, 68m²,2 weeks ago
54,"$170,000"," BKK 1, Chamkarmon, Phnom Penh", 1, 1,N/A,2 weeks ago
55,"$99,999"," Veal Vong, 7 Makara, Phnom Penh", 1, 1, 53m²,2 weeks ago
56,"$132,110","Properties Dabest, Nirouth, Chbar Ampov, Phnom Penh", 2, 1, 74m²,2 weeks ago
57,"$114,000","Dabest Properties, Nirouth, Chbar Ampov, Phnom Penh", 1, 1, 65m²,2 weeks ago
