,Hotel,Price,Location,Url
0,kimheak English free school and homestay,"86,121",Siem Reap | 10 km from centre,https://www.booking.com/searchresults.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&latitude=13.36009538211445&longitude=103.85689331786125&sb_travel_purpose=leisure&nflt=rpt%3D1&order=popularity&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&age=&req_age=
1,La Villa du Bonheur,"235,830",Siem Reap | 1.1 km from centre,https://www.booking.com/hotel/kh/kimheak-english-free-school-and-homestay.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=331&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=935260201_365665591_2_1_0&highlighted_blocks=935260201_365665591_2_1_0&matching_block_id=935260201_365665591_2_1_0&sr_pri_blocks=935260201_365665591_2_1_0__2125&tpi_r=2
2,Reveal Courtyard in Reveal Angkor,"195,546","Wat Bo Area, Siem Reap | 1.1 km from centre",https://www.booking.com/hotel/kh/la-villa-du-bonheur.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=332&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=119951110_263831701_0_42_0&highlighted_blocks=119951110_263831701_0_42_0&matching_block_id=119951110_263831701_0_42_0&sr_pri_blocks=119951110_263831701_0_42_0__5819&tpi_r=2&from_sustainable_property_sr=1
3,Mary Home Siem Reap,"243,166",Siem Reap | 2.9 km from centre,https://www.booking.com/hotel/kh/reveal-angkor-hotel.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=333&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=141040427_201035963_2_41_0&highlighted_blocks=141040427_201035963_2_41_0&matching_block_id=141040427_201035963_2_41_0&sr_pri_blocks=141040427_201035963_2_41_0__4825&tpi_r=2
4,ANGKOR DINO B&B,"133,741",Siem Reap | 2.3 km from centre,https://www.booking.com/hotel/kh/mary-home-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=334&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=915089901_362953458_2_0_0&highlighted_blocks=915089901_362953458_2_0_0&matching_block_id=915089901_362953458_2_0_0&sr_pri_blocks=915089901_362953458_2_0_0__6000&tpi_r=2
5,1-2pax AC room 3 including kitchen,"52,686",Siem Reap | 3.9 km from centre,https://www.booking.com/hotel/kh/angkor-dino-b-amp-b.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=335&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=246764710_119519248_2_42_0&highlighted_blocks=246764710_119519248_2_42_0&matching_block_id=246764710_119519248_2_42_0&sr_pri_blocks=246764710_119519248_2_42_0__3300&tpi_r=2
6,Champey Angkor Hotel,"182,374",Siem Reap | 2.6 km from centre,https://www.booking.com/hotel/kh/1-2pax-fan-room-3-including-kitchen.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=336&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=928552401_364818030_2_0_0&highlighted_blocks=928552401_364818030_2_0_0&matching_block_id=928552401_364818030_2_0_0&sr_pri_blocks=928552401_364818030_2_0_0__1300&tpi_r=2
7,SSK Apartment,"303,957","National Road 6, Siem Reap | 2.7 km from centre",https://www.booking.com/hotel/kh/champey-angkor.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=337&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=959971301_368594989_2_0_0&highlighted_blocks=959971301_368594989_2_0_0&matching_block_id=959971301_368594989_2_0_0&sr_pri_blocks=959971301_368594989_2_0_0__4500&tpi_r=2
8,ANGKOR DINO HOME,"123,123",Siem Reap | 1.8 km from centre,https://www.booking.com/hotel/kh/ssk-apartment.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=338&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=935258301_365665533_2_0_0&highlighted_blocks=935258301_365665533_2_0_0&matching_block_id=935258301_365665533_2_0_0&sr_pri_blocks=935258301_365665533_2_0_0__7500&tpi_r=2&from_sustainable_property_sr=1
9,La Palmeraie D'angkor,"663,842",Siem Reap | 5 km from centre,https://www.booking.com/hotel/kh/angkor-dino-home.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-13&checkout=2023-04-14&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=339&sr_order=popularity&srpvid=6771763cf922068e&srepoch=1680022138&all_sr_blocks=585256701_228999715_2_0_0&highlighted_blocks=585256701_228999715_2_0_0&matching_block_id=585256701_228999715_2_0_0&sr_pri_blocks=585256701_228999715_2_0_0__3038&tpi_r=2
