,Hotel,Price,Location,Url
0,Royal Empire Premium Hotel,"751,382","National Road 6, Siem Reap | 2.1 km from centre",https://www.booking.com/hotel/kh/royal-empire-premium.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=301&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=106521901_208526233_2_41_0&highlighted_blocks=106521901_208526233_2_41_0&matching_block_id=106521901_208526233_2_41_0&sr_pri_blocks=106521901_208526233_2_41_0__18540&from_sustainable_property_sr=1
1,Pacific Hotel & Spa,"256,621","National Road 6, Siem Reap | 4.1 km from centre",https://www.booking.com/hotel/kh/pacific-spa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=302&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=23699706_273401041_2_1_0&highlighted_blocks=23699706_273401041_2_1_0&matching_block_id=23699706_273401041_2_1_0&sr_pri_blocks=23699706_273401041_2_1_0__6332
2,Siem Reap Friendly House,"80,974",Siem Reap | 3.1 km from centre,https://www.booking.com/hotel/kh/siem-reap-friendly-house.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=303&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=242372201_242610457_2_42_0&highlighted_blocks=242372201_242610457_2_42_0&matching_block_id=242372201_242610457_2_42_0&sr_pri_blocks=242372201_242610457_2_42_0__1998
3,Seuya Hotel & Residence,"171,959","Wat Bo Area, Siem Reap | 0.8 km from centre",https://www.booking.com/hotel/kh/diamond-smith.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=304&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=625196208_295253512_2_42_0&highlighted_blocks=625196208_295253512_2_42_0&matching_block_id=625196208_295253512_2_42_0&sr_pri_blocks=625196208_295253512_2_42_0__4243&from_sustainable_property_sr=1
4,Parent Heritage Angkor Villa,"91,187",Siem Reap | 1.1 km from centre,https://www.booking.com/hotel/kh/parent-heritage-angkor-villa.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=305&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=58181405_237801108_0_2_0&highlighted_blocks=58181405_237801108_0_2_0&matching_block_id=58181405_237801108_0_2_0&sr_pri_blocks=58181405_237801108_0_2_0__2250
5,Diamond D'angkor Boutique,"486,331","Sok San Road, Siem Reap | 1.1 km from centre",https://www.booking.com/hotel/kh/diamond-d-angkor-butique.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=306&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=63735409_342073403_0_0_0&highlighted_blocks=63735409_342073403_0_0_0&matching_block_id=63735409_342073403_0_0_0&sr_pri_blocks=63735409_342073403_0_0_0__12000&from_sustainable_property_sr=1
6,My Key Premier Palace,"426,756",Siem Reap | 3.3 km from centre,https://www.booking.com/hotel/kh/my-key-premier-palace.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=307&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=848854201_352071852_6_0_0&highlighted_blocks=848854201_352071852_6_0_0&matching_block_id=848854201_352071852_6_0_0&sr_pri_blocks=848854201_352071852_6_0_0__10530&from_sustainable_property_sr=1
7,Zannier Hotels Phum Baitang,"2,496,500",Siem Reap | 3.2 km from centre,https://www.booking.com/hotel/kh/phum-baitang.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=308&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=139933401_166652667_2_41_0&highlighted_blocks=139933401_166652667_2_41_0&matching_block_id=139933401_166652667_2_41_0&sr_pri_blocks=139933401_166652667_2_41_0__61600&from_sustainable_property_sr=1
8,Chhay Long Angkor Boutique Hotel Siem Reap,"278,830",Siem Reap | 0.9 km from centre,https://www.booking.com/hotel/kh/chhay-long-angkor-boutique-siem-reap-siem-reap.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=309&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=248485004_365462787_3_2_0&highlighted_blocks=248485004_365462787_3_2_0&matching_block_id=248485004_365462787_3_2_0&sr_pri_blocks=248485004_365462787_3_2_0__6880&from_sustainable_property_sr=1
9,La Rivière d' Angkor Resort,"590,082","Old French Quarter, Siem Reap | 250 m from centre",https://www.booking.com/hotel/kh/la-riviere-d-39-angkor.en-gb.html?label=siemreab-wvB*LeiMNyDdKNsPkW9P5AS110121595709%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-146342137510%3Akwd-300284507489%3Alp1009829%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YZVcNNsENnH02-pWD53qm9c&sid=3c523558a1c1dc70c2d8efa4237ca8d2&aid=306395&ucfs=1&arphpl=1&checkin=2023-04-03&checkout=2023-04-04&dest_id=-1032755&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=310&sr_order=popularity&srpvid=ec4976eec81f0686&srepoch=1680022495&all_sr_blocks=134957614_361372583_0_1_0&highlighted_blocks=134957614_361372583_0_1_0&matching_block_id=134957614_361372583_0_1_0&sr_pri_blocks=134957614_361372583_0_1_0__14560&from_sustainable_property_sr=1
