,Hotel
0,Two Seasons Siem Reap Hotel
1,Prince d'Angkor Hotel & Spa
2,Royal Crown Hotel & Spa
3,Five Rose Siem Reap Hostel
4,Chamraoen’s Home
5,Anansaya La Maison
6,Smart Angkor Boutique
7,The Twizt - Lifestyle Hostel
8,Jaya House River Park
9,DEN HOTEL TOTONOU SIEM REAP
10,The Siem Reap Chilled Backpacker
11,Panhanita Apartment and Villa
12,Ravoeun Angkor Boutique
13,Heritage Suites Hotel
14,Angkor Paradise Hotel
15,King Boutique Hotel
16,Sihariddh Angkor Villa
17,Grand Elysee La Residence
18,IKI IKI Guesthouse
19,Popular Residence Hotel
20,Memoire Siem Reap Hotel
21,Sokha Angkor Resort
22,Secret Garden Homestay
23,Eightfold Urban Resort
24,city inn hotel
25,Babel Siem Reap Guesthouse
26,Dontrei Villa Angkor
27,The Aviary Hotel
28,Maison Polanka
29,Happy Heng Heang Guesthouse
30,Maison Leab
31,Elite d'Angkor Residence
32,Chhay Long Angkor Boutique Hotel Siem Reap
33,Memoire Palace Resort & Spa
34,Maison 557
35,Angkor City View Hotel
36,Siem Reap Capital Hotel & Spa
37,HAN & DANIEL VILLA BOUTIQUE
38,Amber Angkor Villa Hotel & Spa
39,My Key Premier Palace
40,Somadevi Angkor Premium
41,Khmer Mansion Boutique Hotel
42,Apsara Centrepole Hotel
43,Angkor Aurora
44,UTEY Hotel
45,Le Chanthou Boutique
46,Marvel Holiday Boutique Villa
47,Villa D Riverside Boutique Hotel
48,Central Night Hotel
49,Beyond Yangon Inn
50,Isann Lodge
51,Realkhom Villa
52,Authentic Khmer Village Resort
53,Pacific Hotel & Spa
54,Grand Bayon Siem Reap Hotel
55,Damnak Riverside Villa
56,Phum Khmer Lodge
57,The Grand Cyclo Boutique Suite & Spa
58,Archaic House
59,Heng Long Villa
64,Pool Party Hostel
66,Diamond D'angkor Boutique
67,Central Corner Suite
69,BayStone Resort
70,Central Suite Residence
72,La Residence WatBo Hotel
73,Tan Sokchea Boutique
74,Royal Empire Premium Hotel
75,Angkor Rendezvous (Pool Villa)
76,Noni Tree Hostel
77,House of Mango
78,Angkor Sweet Night Hotel
79,Java Wooden Villa & Residence
80,Angkor Leap Hotel
81,Hak Boutique Residence
82,Private Villa by The Bliss
83,Bunyong Homestay
84,Siem Reap Friendly House
85,Golden Butterfly Villa
86,La Villa d'Alex
87,Reveal Angkor Hotel
88,MOONSHINE GUESTHOUSE&RESTAURANT
89,Mane History Lovers
96,Monoreach Angkor Hotel
97,The Village Homestay
98,Mohasal Angkor Boutique
99,JP Prana Hotel
100,Seuya Hotel & Residence
101,Sakmut Hotel & Spa
102,Damrei Angkor Hotel
103,Sakun Angkor Boutique
104,The Rabbit Hole Hotel & SPA
105,Sokha Siem Reap Resort & Convention Center
106,Sophat Villa
107,Maison Model d'Angkor
108,Hello Cambodia Boutique
109,La Maison des Bambous Siem Reap
110,Bok Moan Homestay
111,Smiling Deluxe Hotel
112,Sokhalay Angkor Inn
113,Parklane Hotel
114,Villa VATEY
115,Bloom Garden Bed & Breakfast
116,Sok Hotel And Coffee
117,Siem Reap Homesteading
118,NLCO Homestay
119,Bou Savy Villa
120,Green Life Cottage
121,Royal Angkor Resort & Spa
122,Waka Villa Private Resort & Spa - Adults Only
123,Neth Socheata Hotel
124,Cheathata CTA Hotel Siem Reap
125,Grange
126,Reveal Courtyard in Reveal Angkor
127,Maison Gen Angkor
128,Vihara Angkor
129,The Embassy Angkor Resort & Spa
130,Siem Reap Holiday Guest House or Motel
131,BB Angkor Green Resort
132,Angkor Hotel
133,Golden Temple Hotel
134,La Villa du Bonheur
135,Chateau d'Angkor La Residence
136,K Medical Clinic Resort
137,Ratana Angkor Hotel
138,Angkor Land Urban Boutique
139,Mekong Angkor Deluxe Hotel
140,Amazing Palm Resort
141,Treeline Urban Resort
142,Golden Temple Retreat
143,Lotus Blanc Hotel
144,Angkor H Villa
145,Phan NaTa Apartment
146,Borei Angkor Resort & Spa
147,ANGKOR DINO B&B
148,kimheak English free school and homestay
149,Hotel Vellita Siem reap
150,Urban Residences - Siem Reap
151,Angkor Tempora Boutique
152,Pages Rooms Hotel
154,The Night Hotel
