Unnamed: 0,Name,Facilities
0,DEN HOTEL TOTONOU SIEM REAP,Outdoor swimming pool 
1,DEN HOTEL TOTONOU SIEM REAP,Airport shuttle 
2,DEN HOTEL TOTONOU SIEM REAP,Non-smoking rooms 
3,DEN HOTEL TOTONOU SIEM REAP,Free parking 
4,DEN HOTEL TOTONOU SIEM REAP,Free WiFi 
5,DEN HOTEL TOTONOU SIEM REAP,Family rooms 
6,DEN HOTEL TOTONOU SIEM REAP,Terrace 
7,DEN HOTEL TOTONOU SIEM REAP,Garden 
8,DEN HOTEL TOTONOU SIEM REAP,Air conditioning 
9,DEN HOTEL TOTONOU SIEM REAP,Outdoor swimming pool 
10,DEN HOTEL TOTONOU SIEM REAP,Airport shuttle 
11,DEN HOTEL TOTONOU SIEM REAP,Non-smoking rooms 
12,DEN HOTEL TOTONOU SIEM REAP,Free parking 
13,DEN HOTEL TOTONOU SIEM REAP,Free WiFi 
14,DEN HOTEL TOTONOU SIEM REAP,Family rooms 
15,DEN HOTEL TOTONOU SIEM REAP,Terrace 
16,DEN HOTEL TOTONOU SIEM REAP,Garden 
17,DEN HOTEL TOTONOU SIEM REAP,Air conditioning 
0,The Siem Reap Chilled Backpacker,Outdoor swimming pool 
1,The Siem Reap Chilled Backpacker,Airport shuttle 
2,The Siem Reap Chilled Backpacker,Non-smoking rooms 
3,The Siem Reap Chilled Backpacker,Room service 
4,The Siem Reap Chilled Backpacker,Restaurant 
5,The Siem Reap Chilled Backpacker,Free WiFi 
6,The Siem Reap Chilled Backpacker,Family rooms 
7,The Siem Reap Chilled Backpacker,24-hour front desk 
8,The Siem Reap Chilled Backpacker,Bar 
9,The Siem Reap Chilled Backpacker,Breakfast 
10,The Siem Reap Chilled Backpacker,Outdoor swimming pool 
11,The Siem Reap Chilled Backpacker,Airport shuttle 
12,The Siem Reap Chilled Backpacker,Non-smoking rooms 
13,The Siem Reap Chilled Backpacker,Room service 
14,The Siem Reap Chilled Backpacker,Restaurant 
15,The Siem Reap Chilled Backpacker,Free WiFi 
16,The Siem Reap Chilled Backpacker,Family rooms 
17,The Siem Reap Chilled Backpacker,24-hour front desk 
18,The Siem Reap Chilled Backpacker,Bar 
19,The Siem Reap Chilled Backpacker,Breakfast 
0,Panhanita Apartment and Villa,Airport shuttle 
1,Panhanita Apartment and Villa,Non-smoking rooms 
2,Panhanita Apartment and Villa,Free parking 
3,Panhanita Apartment and Villa,Free WiFi 
4,Panhanita Apartment and Villa,Terrace 
5,Panhanita Apartment and Villa,Garden 
6,Panhanita Apartment and Villa,Air conditioning 
7,Panhanita Apartment and Villa,Airport shuttle 
8,Panhanita Apartment and Villa,Non-smoking rooms 
9,Panhanita Apartment and Villa,Free parking 
10,Panhanita Apartment and Villa,Free WiFi 
11,Panhanita Apartment and Villa,Terrace 
12,Panhanita Apartment and Villa,Garden 
13,Panhanita Apartment and Villa,Air conditioning 
0,Ravoeun Angkor Boutique,Outdoor swimming pool 
1,Ravoeun Angkor Boutique,Airport shuttle (free) 
2,Ravoeun Angkor Boutique,Non-smoking rooms 
3,Ravoeun Angkor Boutique,Free parking 
4,Ravoeun Angkor Boutique,Terrace 
5,Ravoeun Angkor Boutique,Garden 
6,Ravoeun Angkor Boutique,Air conditioning 
7,Ravoeun Angkor Boutique,Bar 
8,Ravoeun Angkor Boutique,Outdoor swimming pool 
9,Ravoeun Angkor Boutique,Airport shuttle (free) 
10,Ravoeun Angkor Boutique,Non-smoking rooms 
11,Ravoeun Angkor Boutique,Free parking 
12,Ravoeun Angkor Boutique,Terrace 
13,Ravoeun Angkor Boutique,Garden 
14,Ravoeun Angkor Boutique,Air conditioning 
15,Ravoeun Angkor Boutique,Bar 
0,Heritage Suites Hotel,Outdoor swimming pool 
1,Heritage Suites Hotel,Airport shuttle (free) 
2,Heritage Suites Hotel,Non-smoking rooms 
3,Heritage Suites Hotel,Spa and wellness centre 
4,Heritage Suites Hotel,Room service 
5,Heritage Suites Hotel,Restaurant 
6,Heritage Suites Hotel,Facilities for disabled guests 
7,Heritage Suites Hotel,Tea/coffee maker in all rooms 
8,Heritage Suites Hotel,Bar 
9,Heritage Suites Hotel,Very good breakfast
10,Heritage Suites Hotel,Outdoor swimming pool 
11,Heritage Suites Hotel,Airport shuttle (free) 
12,Heritage Suites Hotel,Non-smoking rooms 
13,Heritage Suites Hotel,Spa and wellness centre 
14,Heritage Suites Hotel,Room service 
15,Heritage Suites Hotel,Restaurant 
16,Heritage Suites Hotel,Facilities for disabled guests 
17,Heritage Suites Hotel,Tea/coffee maker in all rooms 
18,Heritage Suites Hotel,Bar 
19,Heritage Suites Hotel,Very good breakfast
0,Angkor Paradise Hotel,Outdoor swimming pool 
1,Angkor Paradise Hotel,Airport shuttle 
2,Angkor Paradise Hotel,Non-smoking rooms 
3,Angkor Paradise Hotel,Spa and wellness centre 
4,Angkor Paradise Hotel,Fitness centre 
5,Angkor Paradise Hotel,Room service 
6,Angkor Paradise Hotel,Free parking 
7,Angkor Paradise Hotel,Tea/coffee maker in all rooms 
8,Angkor Paradise Hotel,Bar 
9,Angkor Paradise Hotel,Very good breakfast
10,Angkor Paradise Hotel,Outdoor swimming pool 
11,Angkor Paradise Hotel,Airport shuttle 
12,Angkor Paradise Hotel,Non-smoking rooms 
13,Angkor Paradise Hotel,Spa and wellness centre 
14,Angkor Paradise Hotel,Fitness centre 
15,Angkor Paradise Hotel,Room service 
16,Angkor Paradise Hotel,Free parking 
17,Angkor Paradise Hotel,Tea/coffee maker in all rooms 
18,Angkor Paradise Hotel,Bar 
19,Angkor Paradise Hotel,Very good breakfast
0,King Grand Boutique Hotel,Outdoor swimming pool 
1,King Grand Boutique Hotel,Airport shuttle 
2,King Grand Boutique Hotel,Non-smoking rooms 
3,King Grand Boutique Hotel,Free WiFi 
4,King Grand Boutique Hotel,Family rooms 
5,King Grand Boutique Hotel,24-hour front desk 
6,King Grand Boutique Hotel,Air conditioning 
7,King Grand Boutique Hotel,Tea/coffee maker in all rooms 
8,King Grand Boutique Hotel,Outdoor swimming pool 
9,King Grand Boutique Hotel,Airport shuttle 
10,King Grand Boutique Hotel,Non-smoking rooms 
11,King Grand Boutique Hotel,Free WiFi 
12,King Grand Boutique Hotel,Family rooms 
13,King Grand Boutique Hotel,24-hour front desk 
14,King Grand Boutique Hotel,Air conditioning 
15,King Grand Boutique Hotel,Tea/coffee maker in all rooms 
