,Name,Facilities
0,My Key Premier Palace,Airport shuttle 
1,My Key Premier Palace,Non-smoking rooms 
2,My Key Premier Palace,Free parking 
3,My Key Premier Palace,Free WiFi 
4,My Key Premier Palace,Family rooms 
5,My Key Premier Palace,Terrace 
6,My Key Premier Palace,Garden 
7,My Key Premier Palace,Air conditioning 
8,My Key Premier Palace,Airport shuttle 
9,My Key Premier Palace,Non-smoking rooms 
10,My Key Premier Palace,Free parking 
11,My Key Premier Palace,Free WiFi 
12,My Key Premier Palace,Family rooms 
13,My Key Premier Palace,Terrace 
14,My Key Premier Palace,Garden 
15,My Key Premier Palace,Air conditioning 
