,Name,Adress,Rating,RoomType,RoomSize,Price
0,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Tailorbird Standard Twin Room,35 m²,"KHR 429,030"
1,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Tailorbird Standard Twin Room,35 m²,"KHR 470,283"
2,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Tailorbird Standard Double Room,35 m²,"KHR 429,030"
3,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Tailorbird Standard Double Room,35 m²,"KHR 470,283"
4,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Kingfisher Deluxe Double Room,45 m²,"KHR 495,035"
5,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Kingfisher Deluxe Double Room,45 m²,"KHR 536,288"
6,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Kingfisher Deluxe Double Room,45 m²,"KHR 639,420"
7,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Kingfisher Deluxe Double Room,45 m²,"KHR 680,673"
8,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Deluxe Plus Double Room,55 m²,"KHR 561,040"
9,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Deluxe Plus Double Room,55 m²,"KHR 602,292"
10,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Deluxe Plus Twin Room,55 m²,"KHR 561,040"
11,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Deluxe Plus Twin Room,55 m²,"KHR 602,292"
12,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Sarus Crane Suite,60 m²,"KHR 693,049"
13,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Sarus Crane Suite,60 m²,"KHR 734,302"
14,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Sarus Crane Suite,60 m²,"KHR 878,687"
15,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Family Room,110 m²,"KHR 1,122,079"
16,The Aviary Hotel,"#9, Samdech Tep Vong St., Siem Reap, Cambodia",9.2,Family Room,110 m²,"KHR 1,204,585"
