Type,Price,Location,Bedrooms,Bathrooms
Type,Price,Location,Bedrooms,Bathrooms
Project,," Win Win Blvd, Bak Kaeng, Chroy Changvar, Phnom Penh",3,3
Borey,," Khmuonh, Sen Sok, Phnom Penh",7,7
Condo,," Chroy Changvar, Chroy Changvar, Phnom Penh",5,5
Shophouse,"$500,000","Preaek Lieb, Chroy Changvar, Phnom Penh",6,6
Shophouse,"$1,300,000","Phsar Thmei III, Daun Penh, Phnom Penh",0,0
Shophouse,"$1,500,000","Phsar Thmei III, Daun Penh, Phnom Penh",4,4
Shophouse,"$210,000","Phsar Thmei III, Daun Penh, Phnom Penh",2,2
Shophouse,"$700,000","Phsar Thmei III, Daun Penh, Phnom Penh",6,6
Shophouse,"$800,000","Phsar Thmei III, Daun Penh, Phnom Penh",5,5
Villa,"$2,200,000"," Toul Svay Prey 1, Chamkarmon, Phnom Penh",6,6
Shophouse,"$170,000","Kouk Roka, Prek Pnov, Phnom Penh",4,4
Shophouse,"$1,000,000","Chakto Mukh, Daun Penh, Phnom Penh",1,1
Villa,"$560,000","Koh Dach, Chroy Changvar, Phnom Penh",2,2
Shophouse,"$800,000","Chey Chumneah, Daun Penh, Phnom Penh",0,0
Shophouse,"$1,300,000","Tumnob Tuek, Chamkarmon, Phnom Penh",3,3
Villa,"$250,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
Villa,"$950,000","BKK 1, Chamkarmon, Phnom Penh",2,2
Villa,"$220,000","Sen Sok, Phnom Penh",4,4
House,"$3,800,000","Boeung Kak 2, Toul Kork, Phnom Penh",5,5
House,"$198,000","Chaom Chau, Por Sen Chey, Phnom Penh",4,4
House,"$100,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
House,"$65,000","Snaor, Por Sen Chey, Phnom Penh",3,3
Villa,"$320,000","Chrang Chamres 2, Russey Keo, Phnom Penh",4,4
House,"$147,000","Bak Kaeng, Chroy Changvar, Phnom Penh",2,2
House,"$44,500","Chaom Chau, Por Sen Chey, Phnom Penh",2,2
Link House,"$140,000","Bak Kaeng, Chroy Changvar, Phnom Penh",4,4
Shophouse,"$450,000","Tuek L'ak 3, Toul Kork, Phnom Penh",1,1
Shophouse,"$210,000","Chbar Ampov II, Chbar Ampov, Phnom Penh",3,3
House,"$300,000","Tuek Thla, Sen Sok, Phnom Penh",4,4
House,"$129,000","Preaek Aeng, Chbar Ampov, Phnom Penh",4,4
House,"$330,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
House,"$285,000","Preaek Lieb, Chroy Changvar, Phnom Penh",5,5
Shophouse,"$750,000","Phsar Thmei III, Daun Penh, Phnom Penh",6,6
Shophouse,"$137,500","Veal Sbov, Chbar Ampov, Phnom Penh",4,4
House,"$95,000","Boeung Tumpun, Meanchey, Phnom Penh",4,4
House,"$22,000","Meanchey, Phnom Penh",4,4
House,"$330,000","Chaom Chau 3, Por Sen Chey, Phnom Penh",6,6
House,"$370,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",5,5
House,"$265,000","Prey Sa, Dangkao, Phnom Penh",5,5
House,"$160,000","Veal Sbov, Chbar Ampov, Phnom Penh",4,4
House,"$95,000","Snaor, Por Sen Chey, Phnom Penh",4,4
House,"$88,000","Trapeang Krasang, Por Sen Chey, Phnom Penh",3,3
House,"$56,000","Kamboul, Por Sen Chey, Phnom Penh",2,2
House,"$570,000","Toul Kork, Phnom Penh",4,4
House,"$196,666","Chbar Ampov I, Chbar Ampov, Phnom Penh",4,4
House,"$109,998","Kouk Khleang, Sen Sok, Phnom Penh",2,2
House,"$109,000","Kilomaetr Lekh Prammuoy, Russey Keo, Phnom Penh",3,3
Villa,"$310,000","Dangkao, Dangkao, Phnom Penh",4,4
House,"$650,000","Russey Keo, Phnom Penh",6,6
Villa,"$115,000","Samraong Kraom, Por Sen Chey, Phnom Penh",4,4
House,"$898,000","Dangkao, Dangkao, Phnom Penh",6,6
House,"$27,000","Prek Pnov, Phnom Penh",2,2
House,"$122,500","Chak Angrae Kraom, Meanchey, Phnom Penh",2,2
House,"$255,000","Boeung Kak 2, Toul Kork, Phnom Penh",6,6
