Job title,Job Location,Job Region,Job Salary,Job Rating,Job Upload
Information Technology Specialist,U.S. Government —,"Carrollton, TX","Estimated: $37,331 - $98,500 a year",4.3 ,
Customer Support Engineer,Files.com —,Remote,"Estimated: From $100,000 a year",,
Information Technology Technician,U.S. Government —,"Cypress, CA","Estimated: $50,000 - $80,000 a year",4.3 ,
Cyber Defense Agent,United States Department Of Defense —,"West Jordan, UT","Estimated: $2,000 - $5,000 a month",4.2 ,
Helpdesk Technician,Grand Rapids Public Schools —,"Grand Rapids, MI",Estimated: $25 an hour,3.5 ,Today
"Technical Support Engineer (Part-time, Remote from East Coast)",Ring.io —,Remote,Estimated: $25 - $35 an hour,,Today
Deskside Technician I (Remote),"Stefanini, Inc —",Remote,Estimated: $23 - $27 an hour,3.8 ,
Junior Project Manager,AOES Consulting LLC —,Remote,Estimated: $28 an hour,5 ,5d
Help Desk - Level 1 (Voice/ Chat/ Email) – Remote,DXC Technology —,Texas,"Estimated: $36,500 - $54,700 a year",3.2 ,4d
IT SUPPORT SPECIALIST I,City of Richardson Texas —,"Richardson, TX","Estimated: $4,517 - $6,654 a month",3.9 ,
Software Support,"Vantagepoint ai, LLC —","Sarasota, FL","$28,000 - $35,000 a year",3.4 ,5d
Salesforce Marketing Cloud Developer- Trainee fresher,kasmo cloud solutions —,Remote,Estimated: $58.9K - $74.5K a year,5 ,
Technology Specialist,Ascension —,Remote,Estimated: $35 - $45 an hour,3.6 ,
Security Analyst,SecurityRangers.io —,Remote,Estimated: $32 - $37 an hour,,
IT Analyst,"GMTEA, Inc —",Remote,Estimated: From $21 an hour,,4d
Helpdesk Technician,Trinity Solar Careers —,"Wall, NJ",Estimated: $35 - $45 an hour,3.9 ,
Entry-Level Tech Support,StealthTech —,"Miami, FL",Estimated: $25 - $30 an hour,,
Network Technician,Pri Global Inc —,Remote,Estimated: $55.6K - $70.4K a year,,7d
Technology Specialist / Computer Hardware/Server/Network Specialist,Planet Access —,"Dallas-Fort Worth, TX",Estimated: $40 an hour,3 ,
IT Systems & Software Administrator,CMX Cinemas —,Remote,Estimated: $27 - $30 an hour,3.2 ,
Helpdesk Specialist,Interon IT Solutions LLC —,Remote,"From $85,280 a year",,
IT Support - Tier 3,First Call Computer Solutions —,Remote,"$60,000 - $200,000 a year",3.3 ,
IT Service Desk Tech,CLX Gaming —,"Emporia, KS","Estimated: $30,000 - $40,000 a year",4.5 ,Today
Customer Support Specialist -Night Shift (Thursday to Monday) - Fully Remote,SAP —,"Reston, VA",Estimated: $60.1K - $76.1K a year,4.2 ,13d
IT Help Desk,Academic Technologies Inc —,"Miami, FL",Estimated: $19 - $45 an hour,,
Help Desk Support,Per Scholas —,"Columbus, OH",Estimated: $18.00 - $29.22 an hour,4.2 ,
Product Support - Tier 1,Oddball —,Remote,Estimated: $41.4K - $52.5K a year,,Today
Help Desk Analyst (Information Technology Analyst 2 (40 Hour) (Hybrid)),State of Connecticut - Department of Administrative Services —,"Middletown, CT",Estimated: $20 - $35 an hour,3.9 ,7d
IT Support Tech,CopilotIQ —,Remote,"Estimated: $80,000 - $110,000 a year",1 ,
