Price,Price per m2,Location,Type,Title,Property ID,Original ID,Listed,Updated
500,None," Svay Dankum, Siem Reap, Siem Reap",Land/Development,Hard Title,229211,DL887,3 hours ago,2 hours ago
"1,260,000",300," Sala Kamraeuk, Siem Reap, Siem Reap",Land/Development,Hard Title,228618,DL878,1 week ago,1 week ago
"1,500,000",500," Svay Dankum, Siem Reap, Siem Reap",Land/Development,Hard Title,228610,DL877,1 week ago,1 week ago
"6,500",,"Boeung Kak 2, Toul Kork, Phnom Penh",Land/Development,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",227762,REAKH-17,3 weeks ago
"2,200",None,"Preaek Ta Sek, Chroy Changvar, Phnom Penh",Land/Development,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",226844,1 month ago,1 month ago
"64,999",,"Samraong Kraom, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224332,2 months ago,2 months ago
"1,300,000",,"Samraong Kraom, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224330,2 months ago,2 months ago
"55,000",,"Boeung Thum, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224320,2 months ago,2 months ago
"195,000",,"Stueng Mean chey, Meanchey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224255,2 months ago,2 months ago
"2,007,000",,"Khmuonh, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224253,2 months ago,2 months ago
"39,000",,"Kakab 2, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224249,2 months ago,2 months ago
"80,000",,"Ponhea Pon, Prek Pnov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224187,2 months ago,2 months ago
"57,000",,"Prey Veaeng, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224186,2 months ago,2 months ago
"100,000",,"Prey Sa, Dangkao, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224183,2 months ago,2 months ago
"23,000",,"Preaek Kampues, Dangkao, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224179,2 months ago,2 months ago
"499,900",,"Krang Thnong, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224034,2 months ago,2 months ago
"46,000",,"Chaom Chau, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224032,2 months ago,2 months ago
"46,800",,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",224025,2 months ago,2 months ago
