Price,Size,Location,Type,Title,Property ID,Original ID,Listed,Updated
1218350,3481,Phnom Penh,Land for Sale,Hard Title,9027958,,03-Mar-23,
11526000,22600,Phnom Penh,Land for Sale,Hard Title,9064166,,03-Mar-23,
1500000,15000,Kampong Speu,Land for Sale,Soft Title,8904665,,06-Feb-23,
3413800,5252,Phnom Penh,Land for Sale,Hard Title,8811674,,08-May-23,
790800,3954,Siem Reap,Land for Sale,Hard Title,8730210,,08-May-23,
2624100,17494,Phnom Penh,Land for Sale,Hard Title,9168610,,07-May-23,
30990000,134727,Kandal,Land for Sale,Hard Title,5871599,,05-May-23,
38000,12670,Kampong Speu,Land for Sale,Soft Title,8532670,,28-Apr-23,
25000,760,Prey Veng,Land for Sale,Hard Title,7890795,,27-Apr-23,
3096250,2477,Phnom Penh,Land for Sale,Hard Title,9168667,,25-Apr-23,
229800,76600,Kampong Speu,Land for Sale,Hard Title,5508609,,08-May-23,
1685200,76600,Kampong Speu,Land for Sale,Hard Title,3209060,,08-May-23,
142260,7113,Battambang,Land for Sale,Soft Title,8676969,,08-May-23,
142260,7113,Battambang,Land for Sale,Soft Title,7987112,,08-May-23,
1500000,10000,Kandal,Land for Sale,Soft Title,7729779,,08-May-23,
108900,2420,Phnom Penh,Land for Sale,Hard Title,8687810,,08-May-23,
402600,2684,Phnom Penh,Land for Sale,Hard Title,8687797,,08-May-23,
21000,16,Koh Kong,Land for Sale,Soft Title,8753096,,08-May-23,
750000,745,Phnom Penh,Land for Sale,Hard Title,9331068,,08-May-23,
748000,880,Siem Reap,Land for Sale,Soft Title,9209796,,08-May-23,
346800,578,Phnom Penh,Land for Sale,Hard Title,8205393,,08-May-23,
150000,900,Kampong Chhnang,Land for Sale,Soft Title,8570858,,08-May-23,
4500000,250000,Kampong Speu,Land for Sale,Hard Title,8987360,,08-May-23,
1325550,88370,Kandal,Land for Sale,Soft Title,9394905,,08-May-23,
185000,300,Kandal,Land for Sale,Soft Title,9308031,,08-May-23,
445000,270,Banteay Meanchey,Land for Sale,Hard Title,9169829,,08-May-23,
2500000,6661,Kampot,Land for Sale,Hard Title,8183070,,08-May-23,
20000,55,Phnom Penh,Land for Sale,Soft Title,8481782,,08-May-23,
470000,5779,Phnom Penh,Land for Sale,Soft Title,9005800,,08-May-23,
600000,600,Phnom Penh,Land for Sale,Hard Title,7608885,,08-May-23,
180000,600,Siem Reap,Land for Sale,Hard Title,7809545,,08-May-23,
1429400,4084,Siem Reap,Land for Sale,Soft Title,9209919,,08-May-23,
4985600,1216,Phnom Penh,Land for Sale,Hard Title,9193100,,08-May-23,
317750,1271,Battambang,Land for Sale,Soft Title,9057477,,08-May-23,
498960,2970,Phnom Penh,Land for Sale,Soft Title,7617176,,08-May-23,
280000,2970,Phnom Penh,Land for Sale,Soft Title,9111300,,08-May-23,
341000,550,Siem Reap,Land for Sale,Soft Title,9394857,,08-May-23,
165000,550,Siem Reap,Land for Sale,Hard Title,7809545,,08-May-23,
1429400,4084,Siem Reap,Land for Sale,Soft Title,9209919,,08-May-23,
4985600,1216,Phnom Penh,Land for Sale,Hard Title,9193100,,08-May-23,
317750,1271,Battambang,Land for Sale,Soft Title,9057477,,08-May-23,
498960,2970,Phnom Penh,Land for Sale,Soft Title,7617176,,08-May-23,
280000,2970,Phnom Penh,Land for Sale,Soft Title,9111300,,08-May-23,
341000,550,Siem Reap,Land for Sale,Soft Title,9394857,,08-May-23,
809600,352,Phnom Penh,Land for Sale,Hard Title,9382029,,08-May-23,
129960,361,Siem Reap,Land for Sale,Hard Title,9382021,,08-May-23,
1470610,739,Phnom Penh,Land for Sale,Soft Title,7582287,,08-May-23,
268000,439,Siem Reap,Land for Sale,Hard Title,8470680,,08-May-23,
140000,649,Kampot,Land for Sale,Hard Title,8705393,,08-May-23,
48888,100,Phnom Penh,Land for Sale,Soft Title,8520678,,08-May-23,
588888,1006,Phnom Penh,Land for Sale,Soft Title,8520677,,08-May-23,
240000,2400,Siem Reap,Land for Sale,Soft Title,8270735,,08-May-23,
66880,418,Siem Reap,Land for Sale,Hard Title,9243034,,08-May-23,
900000,2000,Phnom Penh,Land for Sale,Hard Title,8874073,,08-May-23,
700000,200,Oddar Meanchey,Land for Sale,Hard Title,7617819,,08-May-23,
295000,89,Phnom Penh,Land for Sale,Soft Title,9332272,,08-May-23,
2534000,1267,Phnom Penh,Land for Sale,Hard Title,8205361,,08-May-23,
41811,1267,Phnom Penh,Land for Sale,Soft Title,8024789,,08-May-23,
10136000,1267,Phnom Penh,Land for Sale,Hard Title,8666378,,08-May-23,
25000,200,Phnom Penh,Land for Sale,Soft Title,8853295,,08-May-23,
60000,1949,Kampot,Land for Sale,Soft Title,9205314,,08-May-23,
2250000,1500,Phnom Penh,Land for Sale,Hard Title,7725113,,08-May-23,
2992000,440,Phnom Penh,Land for Sale,Hard Title,9161174,,08-May-23,
3060000,4080,Phnom Penh,Land for Sale,Hard Title,9382473,,08-May-23,
50000,720,Siem Reap,Land for Sale,Hard Title,8875117,,08-May-23,
35000,100,Phnom Penh,Land for Sale,Soft Title,9394779,,08-May-23,
1156000,6800,Phnom Penh,Land for Sale,Soft Title,7955604,,08-May-23,
450,450,Oddar Meanchey,Land for Sale,Hard Title,8948074,,08-May-23,
93000,103,Phnom Penh,Land for Sale,Soft Title,9049877,,08-May-23,
235818,2382,Phnom Penh,Land for Sale,Hard Title,9355223,,08-May-23,
139490,2146,Kandal,Land for Sale,Soft Title,9382047,,08-May-23,
2960000,800,Phnom Penh,Land for Sale,Hard Title,7593849,,08-May-23,
5220000,8700,Phnom Penh,Land for Sale,Hard Title,8697642,,08-May-23,
170000,803,Phnom Penh,Land for Sale,Soft Title,8791566,,08-May-23,
25000,2816,Takeo,Land for Sale,Soft Title,9341329,,08-May-23,
177390,6570,Takeo,Land for Sale,Soft Title,9042281,,08-May-23,
96000,3000,Takeo,Land for Sale,Hard Title,8525488,,08-May-23,
60000,600,Kandal,Land for Sale,Soft Title,8832125,,08-May-23,
14089600,5032,Preah Sihanouk,Land for Sale,Soft Title,7527733,,08-May-23,
3944000,580,Phnom Penh,Land for Sale,Soft Title,8031091,,08-May-23,
5850000,1125,Phnom Penh,Land for Sale,Soft Title,8199245,,08-May-23,
1700000,1700,Phnom Penh,Land for Sale,Hard Title,8763764,,08-May-23,
4900000,35000,Phnom Penh,Land for Sale,Hard Title,8881016,,08-May-23,
175000,395,Phnom Penh,Land for Sale,Hard Title,9243270,,08-May-23,
525000000,70000,Kampong Thom,Land for Sale,Soft Title,8524520,,08-May-23,
170000,830,Kandal,Land for Sale,Hard Title,9224188,,08-May-23,
220000,830,Battambang,Land for Sale,Soft Title,9355974,,08-May-23,
4025000,11500,Phnom Penh,Land for Sale,Soft Title,7474796,,08-May-23,
461600,1154,Siem Reap,Land for Sale,Soft Title,9366917,,08-May-23,
12006,414,Siem Reap,Land for Sale,Soft Title,9049390,,08-May-23,
200000,185,Stung Treng,Land for Sale,Soft Title,8199028,,08-May-23,
28500000,38000,Phnom Penh,Land for Sale,Soft Title,7589045,,08-May-23,
79800000,38000,Phnom Penh,Land for Sale,Hard Title,8992531,,08-May-23,
250000,780,Kandal,Land for Sale,Soft Title,7572802,,08-May-23,
88000,174,Kandal,Land for Sale,Hard Title,9311051,,08-May-23,
624800,71,Kampong Speu,Land for Sale,Soft Title,7644169,,08-May-23,
65000,71,Phnom Penh,Land for Sale,Soft Title,9338490,,08-May-23,
1600000,407,Phnom Penh,Land for Sale,Hard Title,9192600,,08-May-23,
40000,3000,Kampot,Land for Sale,Soft Title,8606051,,08-May-23,
85000,257,Kandal,Land for Sale,Hard Title,9394683,,08-May-23,
570460,2593,Siem Reap,Land for Sale,Hard Title,8639805,,08-May-23,
23000,2593,Kampong Chhnang,Land for Sale,Soft Title,8574759,,08-May-23,
450000,188,Phnom Penh,Land for Sale,Hard Title,7948110,,08-May-23,
42757400,305410,Phnom Penh,Land for Sale,Soft Title,8629778,,08-May-23,
825600,1920,Phnom Penh,Land for Sale,Soft Title,8664177,,08-May-23,
315000,7000,Phnom Penh,Land for Sale,Hard Title,8936597,,08-May-23,
28000,2000,Kampong Chhnang,Land for Sale,Soft Title,9322651,,08-May-23,
35000,230,Kampong Speu,Land for Sale,Soft Title,9141261,,08-May-23,
12000,800,Kampong Chhnang,Land for Sale,Soft Title,9322713,,08-May-23,
65000,800,Phnom Penh,Land for Sale,Soft Title,9338490,,08-May-23,
1600000,407,Phnom Penh,Land for Sale,Hard Title,9192600,,08-May-23,
40000,3000,Kampot,Land for Sale,Soft Title,8606051,,08-May-23,
85000,257,Kandal,Land for Sale,Hard Title,9394683,,08-May-23,
570460,2593,Siem Reap,Land for Sale,Hard Title,8639805,,08-May-23,
