N,Model,Price,Ram,CPU,Graphic,Storage
0,Apple,"$1,339.69 ",8GB,Intel Core i5 2.3GHz,Intel Iris Plus Graphics 640,128GB SSD
1,Apple,$898.94 ,8GB,Intel Core i5 1.8GHz,Intel HD Graphics 6000,128GB SSD
2,HP,$575.00 ,8GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,256GB SSD
3,Apple,"$2,537.45 ",16GB,Intel Core i7 2.7GHz,AMD Radeon Pro 455,512GB SSD
4,Apple,"$1,803.60 ",8GB,Intel Core i5 3.1GHz,Intel Iris Plus Graphics 650,256GB SSD
5,Acer,$400.00 ,4GB,AMD A9-Series 9420 3GHz,AMD Radeon R5,500GB HDD
6,Apple,"$2,139.97 ",16GB,Intel Core i7 2.2GHz,Intel Iris Pro Graphics,256GB SSD
7,Apple,"$1,158.70 ",8GB,Intel Core i5 1.8GHz,Intel HD Graphics 6000,256GB SSD
8,Asus,"$1,495.00 ",16GB,Intel Core i7 8550U 1.8GHz,Nvidia GeForce MX150,512GB SSD
9,Acer,$770.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
10,HP,$393.90 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,500GB HDD
11,HP,$344.99 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,500GB HDD
12,Apple,"$2,439.97 ",16GB,Intel Core i7 2.8GHz,AMD Radeon Pro 555,256GB SSD
13,Dell,$498.90 ,4GB,Intel Core i3 6006U 2GHz,AMD Radeon R5 M430,256GB SSD
14,Apple,"$1,262.40 ",8GB,Intel Core M m3 1.2GHz,Intel HD Graphics 615,256GB SSD
15,Apple,"$1,518.55 ",8GB,Intel Core i5 2.3GHz,Intel Iris Plus Graphics 640,256GB SSD
16,Dell,$745.00 ,8GB,Intel Core i7 7500U 2.7GHz,AMD Radeon R5 M430,256GB SSD
17,Apple,"$2,858.00 ",16GB,Intel Core i7 2.9GHz,AMD Radeon Pro 560,512GB SSD
18,Lenovo,$499.00 ,8GB,Intel Core i3 7100U 2.4GHz,Nvidia GeForce 940MX,1TB HDD
19,Dell,$979.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,128GB SSD
20,Asus,$191.90 ,2GB,Intel Atom x5-Z8350 1.44GHz,Intel HD Graphics 400,32GB Flash Storage
21,Lenovo,$999.00 ,8GB,Intel Core i5 7300HQ 2.5GHz,Nvidia GeForce GTX 1050,128GB SSD +  1TB HDD
22,HP,$258.00 ,4GB,AMD E-Series E2-9000e 1.5GHz,AMD Radeon R2,500GB HDD
23,Dell,$819.00 ,8GB,Intel Core i5 8250U 1.6GHz,Intel UHD Graphics 620,256GB SSD
24,HP,$659.00 ,8GB,Intel Core i7 8550U 1.8GHz,Intel HD Graphics 620,256GB SSD
25,Dell,$418.64 ,4GB,Intel Core i3 6006U 2GHz,Intel HD Graphics 520,1TB HDD
26,Apple,"$1,099.00 ",8GB,Intel Core i5 1.6GHz,Intel HD Graphics 6000,128GB Flash Storage
27,Dell,$800.00 ,8GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,256GB SSD
28,Dell,"$1,298.00 ",8GB,Intel Core i7 8650U 1.9GHz,Intel UHD Graphics 620,256GB SSD +  256GB SSD
29,HP,$896.00 ,8GB,Intel Core i5 8250U 1.6GHz,Nvidia GeForce 930MX,1TB HDD
30,Chuwi,$244.99 ,4GB,Intel Atom x5-Z8300 1.44GHz,Intel HD Graphics,64GB Flash Storage
31,Asus,$199.00 ,2GB,AMD E-Series E2-6110 1.5GHz,AMD Radeon R2,32GB Flash Storage
32,HP,$439.00 ,4GB,AMD A6-Series 9220 2.5GHz,AMD Radeon 530,500GB HDD
33,Dell,"$1,869.00 ",16GB,Intel Core i7 8550U 1.8GHz,Intel UHD Graphics 620,512GB SSD
34,Apple,$998.00 ,8GB,Intel Core i5 1.6GHz,Intel HD Graphics 6000,256GB Flash Storage
35,Lenovo,$249.00 ,4GB,Intel Celeron Dual Core N3350 1.1GHz,Intel HD Graphics 500,64GB Flash Storage
36,Acer,$367.00 ,4GB,Intel Core i3 7130U 2.7GHz,Intel HD Graphics 620,1TB HDD
37,Dell,$979.00 ,8GB,Intel Core i5 8250U 1.6GHz,AMD Radeon 530,128GB SSD +  1TB HDD
38,HP,$488.69 ,4GB,Intel Core i5 7200U 2.5GHz,Intel HD Graphics 620,1TB HDD
