UserID,rating,movieID,Name of Movie,Year of Release,Watch time,Rating,Meta Score,Votes,Gross Collection($)
0,5,0,The Shawshank Redemption,1994,142,9.3,82,"2,720,035",28.34
327,3,737,Dancer in the Dark,2000,140,7.9,61,"112,208",4.18
235,4,1760,"Se, jie",2007,157,7.5,61,"43,205",4.6
324,4,1947,Jing wu ying xiong,1994,103,7.5,****,****,****
73,3,2023,John Wick,2014,101,7.4,68,"660,982",43.04
160,5,2245,Saving Face,2004,91,7.4,65,"12,483",1.19
9,4,3794,The Infiltrator,2016,127,7,66,"75,648",15.43
372,4,3816,Sid and Nancy,1986,112,7,76,"33,335",2.83
424,5,4987,Saved!,2004,92,6.7,62,"47,434",8.94
471,4,5542,Meet the Feebles,1989,97,6.6,****,****,****
314,1,5689,Murder on the Orient Express,2017,114,6.5,52,"266,050",102.83
407,2,5928,Brewster's Millions,1985,102,6.5,37,"40,806",38.8
316,4,5959,Hounds of Love,2016,108,6.5,73,****,****
339,3,5969,[Rec]²,2009,85,6.5,52,"75,105",0.03
400,2,6372,Big Business,1988,97,6.4,53,"14,737",40.15
36,3,6765,Wimbledon,2004,98,6.3,59,"65,096",17
403,4,6792,David Brent: Life on the Road,2016,96,6.3,54,****,****
174,1,6967,The Sisterhood of the Traveling Pants 2,2008,119,6.2,63,"29,875",44.09
208,5,7000,Maps to the Stars,2014,111,6.2,67,"41,790",0.35
448,4,7588,The Invisible Woman,2013,111,6.1,75,"10,149",1.23
107,4,7681,The Poughkeepsie Tapes,2007,81,6,****,****,****
162,5,7685,Destination Wedding,2018,87,6,46,****,****
312,1,7834,Raising Cain,1992,92,6,42,"16,614",21.37
204,4,9503,The Final Destination,2009,82,5.1,30,"109,285",66.48
378,2,9575,Reeker,2005,90,5.1,****,****,****
1,5,1,The Godfather,1972,175,9.2,100,"1,890,067",134.97
312,4,734,Kôkaku kidôtai,1995,83,7.9,76,"146,853",0.52
111,3,1430,Lethal Weapon,1987,109,7.6,68,"264,334",65.21
274,1,1499,Maudie,2016,115,7.6,65,"19,443",6.17
195,3,1594,The Bishop's Wife,1947,109,7.6,73,****,****
22,4,1997,Zivot je cudo,2004,155,7.5,****,****,****
339,5,2015,Sivaji,2007,188,7.5,****,****,****
10,5,2692,Grand Hotel,I 1932,112,7.3,****,"19,990",2.69
374,4,2713,The Stranger,1946,95,7.3,76,****,****
1,5,3252,Fast Times at Ridgemont High,1982,90,7.1,61,"108,492",27.09
62,3,3564,Arthur Christmas,2011,97,7.1,69,"62,831",46.46
268,3,4339,Tales from the Crypt,1972,92,6.9,****,"12,022",1.7
80,5,4497,Bad Boys,1995,119,6.8,41,"272,587",65.81
1,1,6157,Faster,2010,98,6.4,44,"109,246",23.24
494,1,6616,Risen,2016,107,6.3,51,"29,022",36.87
344,4,6671,Before I Go to Sleep,2014,92,6.3,41,"80,787",2.96
268,3,6888,Cars 2,2011,106,6.2,57,"197,878",191.45
277,2,7748,My Cousin Rachel,2017,106,6,63,"19,945",2.68
162,1,8251,The Crush,1993,89,5.8,34,"21,047",13.61
125,3,8417,Planet of the Apes,2001,119,5.7,50,"222,671",180.01
69,2,9107,Superintelligence,2020,106,5.4,41,****,****
94,5,9704,Beethoven's 2nd,1993,89,4.9,****,"28,713",53.35
2,1,2,Hababam Sinifi,1975,87,9.2,****,****,****
2,2,662,Rane,1998,103,8,****,****,****
4,3,764,Hable con ella,2002,112,7.9,86,"114,381",9.28
425,2,1449,Snow White and the Seven Dwarfs,1937,83,7.6,96,"204,238",184.93
302,3,1593,Mitt liv som hund,1985,101,7.6,82,"21,651",8.35
13,2,1765,Midnight Express,1978,121,7.5,59,"83,253",35
75,2,2250,Fort Apache,1948,128,7.4,****,****,****
364,3,3183,Ghulam,1998,162,7.2,****,****,****
460,3,3986,Playing by Heart,1998,121,7,55,"19,822",3.96
73,3,4151,Sorry to Bother You,2018,112,6.9,80,"82,830",17.49
442,5,4243,He Got Game,1998,136,6.9,64,"49,298",21.55
435,3,4361,East Is East,1999,96,6.9,74,"19,586",4.17
53,2,4531,Athena,2022,99,6.8,73,****,****
17,3,4584,Spies in Disguise,2019,102,6.8,54,"51,728",66.76
440,5,4656,Wildlife,2018,105,6.8,80,"29,855",1.03
136,4,4949,Swimming Pool,2003,102,6.7,70,"46,951",10.11
233,2,5441,A Perfect Murder,1998,107,6.6,50,"87,749",67.64
76,1,5884,"Where'd You Go, Bernadette",2019,109,6.5,51,"23,084",9.2
2,3,6158,Hell House LLC,2015,93,6.4,****,****,****
37,3,7384,Insidious: Chapter 3,2015,97,6.1,52,"107,919",52.22
16,1,8181,The Mortal Instruments: City of Bones,2013,130,5.8,33,"136,007",31.17
166,5,8211,Morgan,2016,92,5.8,48,"44,478",3.91
339,4,9035,Wonder Woman 1984,2020,151,5.4,60,"275,364",46.37
395,2,9065,Aloha,I 2015,105,5.4,40,"68,324",20.99
238,1,9133,Tom and Jerry: The Movie,1992,84,5.4,****,"11,444",3.56
3,2,3,DAMaN,2022,121,9.1,****,****,****
363,4,526,The Graduate,1967,106,8,83,"278,031",104.95
3,2,685,Edge of Tomorrow,2014,113,7.9,71,"693,240",100.21
3,3,1999,Ruang rak noi nid mahasan,2003,112,7.5,73,"11,320",0.03
82,2,2795,Pek Yakinda,2014,134,7.3,****,****,****
94,1,3596,La French,2014,135,7.1,67,****,****
200,4,3650,Astérix chez les Bretons,1986,79,7.1,****,****,****
76,5,4382,House of Usher,1960,79,6.9,75,"14,028",3.16
476,1,4728,The War Wagon,1967,101,6.8,****,****,****
495,1,5043,The Sugarland Express,1974,110,6.7,65,"18,018",7.5
13,3,5193,Palindromes,2004,100,6.7,53,"12,634",0.55
210,2,5208,Beyond the Sea,2004,118,6.7,46,"15,215",6.32
152,5,5825,Ocean's Eleven,1960,127,6.5,57,"23,889",12.32
3,1,6159,The Sum of All Fears,2002,124,6.4,45,"119,613",118.91
3,3,6170,The People Under the Stairs,1991,102,6.4,57,"36,754",24.2
3,1,6222,Forsaken,I 2015,90,6.4,55,****,****
29,5,6990,Outlander,2008,115,6.2,40,"76,750",0.16
181,4,7098,The Big Year,2011,102,6.2,53,"46,308",7.2
9,4,7643,Shark Tale,2004,90,6,48,"187,940",160.86
335,3,7653,Exodus: Gods and Kings,2014,150,6,52,"171,415",65.01
131,5,7850,K-9,1989,101,6,44,"34,446",43.25
276,3,7999,Quarantine,2008,89,5.9,53,"74,875",31.69
10,1,8074,Backtrack,I 2015,90,5.9,43,****,****
461,2,8119,Then She Found Me,2007,100,5.9,56,"10,049",3.74
209,3,8307,And So It Goes,2014,94,5.8,38,"14,569",15.16
92,2,8935,Action Jackson,1988,96,5.5,36,"11,694",20.26
482,4,9016,Gabriel,2007,114,5.5,****,****,****
71,1,9396,My Super Ex-Girlfriend,2006,96,5.2,50,"65,451",22.53
4,3,4,The Dark Knight,2008,152,9,84,"2,692,814",534.86
42,3,1993,And Now for Something Completely Different,1971,88,7.5,****,****,****
350,1,2237,Rabbit-Proof Fence,2002,94,7.4,80,"29,383",6.17
220,2,2385,Elvis,2022,159,7.3,64,"199,987",151.04
145,2,2937,The Life Aquatic with Steve Zissou,2004,119,7.2,62,"201,444",24.01
72,4,2954,Ronin,1998,122,7.2,67,"187,271",41.62
406,1,3106,Calamity Jane,1953,101,7.2,****,****,****
163,5,3337,Manyeo,2018,125,7.1,****,****,****
79,2,3917,The Trouble with Harry,1955,99,7,74,****,****
311,2,4472,Insidious,I 2010,103,6.8,52,"315,595",54.01
132,1,4624,Creepshow,1982,120,6.8,59,"49,911",21.03
394,4,4746,Dodookdeul,2012,135,6.8,75,"10,904",0.69
28,3,5952,An American Tail: Fievel Goes West,1991,75,6.5,****,"27,077",22.17
4,1,6160,DragonHeart,1996,103,6.4,49,"99,155",51.37
4,1,6216,À ma soeur!,2001,95,6.4,77,"12,196",0.72
105,2,6426,Baiohazâdo: Dijenerêshon,2008,97,6.4,****,****,****
182,5,6739,Upside Down,I 2012,109,6.3,45,"72,721",0.1
81,2,7139,Warlock,1989,103,6.2,44,"17,774",9.09
18,4,8360,The Last Five Years,2014,94,5.8,60,"10,407",0.14
377,3,9265,Beyond Skyline,2017,106,5.3,46,****,****
235,1,9293,Moms' Night Out,2014,98,5.3,25,"14,164",10.43
388,2,9686,Boat Trip,2002,94,4.9,18,"31,768",8.59
5,5,5,Schindler's List,1993,195,9,95,"1,373,839",96.9
443,5,532,The King's Speech,2010,118,8,88,"688,589",138.8
400,4,1105,En man som heter Ove,2015,116,7.7,70,"61,565",3.36
7,5,2315,Dasvi,2022,125,7.4,****,****,****
321,5,2672,Master,2021,179,7.3,****,****,****
371,2,2776,Wong Fei Hung II: Nam yee tung chi keung,1992,113,7.3,****,****,****
216,3,3958,The End of the Affair,1999,102,7,65,"23,294",10.66
351,1,4406,Da bing xiao jiang,2010,96,6.9,****,****,****
345,3,5152,Don't Think Twice,2016,92,6.7,83,"17,883",4.42
450,3,5172,Behind the Mask: The Rise of Leslie Vernon,2006,92,6.7,66,"24,584",0.07
115,4,6056,Terri,2011,105,6.5,72,"10,133",0.65
5,1,6161,National Lampoon's Van Wilder,2002,92,6.4,26,"111,916",21.01
120,5,6365,Elvis & Nixon,2016,86,6.4,59,"14,589",1.03
431,4,6655,Somewhere,2010,97,6.3,67,"45,528",1.77
191,4,7092,Blown Away,1994,121,6.2,****,"32,272",30.16
208,3,8477,Insidious: The Last Key,2018,103,5.7,49,"62,872",67.75
159,1,8733,A Bad Moms Christmas,2017,104,5.6,42,"54,409",72.11
499,5,9073,Drive Angry,2011,104,5.4,44,"100,909",10.71
6,1,6,The Godfather Part II,1974,202,9,90,"1,289,644",57.3
412,4,957,Loving Vincent,2017,94,7.8,62,"59,759",6.74
320,1,1647,L'insulte,2017,113,7.6,72,"17,335",1
315,5,2204,...and justice for all.,1979,119,7.4,58,****,****
422,5,2576,The Simpsons Movie,2007,87,7.3,80,"336,415",183.14
273,4,2639,Uncle Frank,2020,95,7.3,58,****,****
347,1,2724,Loft,I 2008,118,7.3,****,****,****
162,2,3069,Cactus Flower,1969,104,7.2,67,"11,244",25.89
492,1,3595,Das finstere Tal,2014,115,7.1,****,****,****
496,1,3977,Welcome,I 2007,159,7,****,"23,665",1.09
296,3,4040,The Place,2017,105,7,****,****,****
360,2,4109,The Mask,1994,101,6.9,56,"395,238",119.94
348,4,4147,Cloudy with a Chance of Meatballs,2009,90,6.9,66,"240,693",124.87
160,4,4519,Unstoppable,2010,98,6.8,69,"200,937",81.56
68,5,4608,Goon,2011,92,6.8,64,"88,340",4.17
13,1,5234,Tarde para la ira,2016,92,6.7,****,****,****
497,1,5997,In Good Company,2004,110,6.5,66,"55,753",45.81
298,5,6090,Night at the Museum,2006,108,6.4,48,"357,438",250.86
6,3,6163,Happy Feet,2006,108,6.4,77,"190,896",198
20,5,6757,Threesome,1994,93,6.3,****,"13,351",14.82
267,1,8499,Little Italy,2018,102,5.7,28,"16,046",0.99
87,3,8944,Rumor Has It...,2005,97,5.5,35,"59,653",43
463,4,9688,The Darkest Hour,2011,89,4.9,18,"62,065",21.43
7,4,7,12 Angry Men,1957,96,9,97,"803,973",4.36
91,1,1640,Bilal: A New Breed of Hero,2015,105,7.6,52,"18,834",0.49
492,4,1666,Aamir,2008,99,7.6,****,****,****
95,1,2259,La Belle Époque,2019,115,7.4,75,****,****
