Source.Name,Model,Price
iphoneModelPrice1.csv,iPhone 14 Pro Max ZP/A áž’áž¶áž“áž¶áŸ¡áž†áŸ’áž“áž¶áŸ†,"$1,419"
iphoneModelPrice1.csv,iPhone 14 Pro ZP/A áž’áž¶áž“áž¶áŸ¡áž†áŸ’áž“áž¶áŸ†,"$1,279"
iphoneModelPrice1.csv,iPhone 14 Plus ZP/A áž’áž¶áž“áž¶áŸ¡áž†áŸ’áž“áž¶áŸ†,"$1,159"
iphoneModelPrice1.csv,iPhone 14 ZP/A áž’áž¶áž“áž¶áŸ¡áž†áŸ’áž“áž¶áŸ†,$959
iphoneModelPrice1.csv,iPhone 14 Plus LL/A (In-Stock),$899
iphoneModelPrice1.csv,iPhone 14 LL/A (In-Stock),$899
iphoneModelPrice1.csv,iPhone 13 mini (In-Stock),$799
iphoneModelPrice1.csv,iPhone 14 Pro LL/A (In-Stock),"$1,199"
iphoneModelPrice1.csv,iPhone 14 Pro Max LL/A (In-Stock NOW!),"$1,299"
iphoneModelPrice1.csv,iPhone 14 Pro ZA/A (In-Stock NOW!),"$1,199"
iphoneModelPrice1.csv,iPhone 14 Pro Max ZA/A (In-Stock NOW!),"$1,389"
iphoneModelPrice1.csv,AirPods Pro 2022 (2nd generation),$279
iphoneModelPrice1.csv,Apple iPhone 14 Pro Max Leather Case with MagSafe,$79
iphoneModelPrice1.csv,Apple iPhone 14 Pro Max Silicone Case with MagSafe,$69
iphoneModelPrice1.csv,Apple iPhone 14 Pro Max Clear Case with MagSafe,$59
iphoneModelPrice1.csv,Apple iPhone 14 Pro Leather Case with MagSafe,$79
iphoneModelPrice1.csv,Apple iPhone 14 Pro Silicone Case with MagSafe,$69
iphoneModelPrice1.csv,Apple iPhone 14 Pro Clear Case with MagSafe,$59
iphoneModelPrice1.csv,iPhone 13 (In-Stock),$859
iphoneModelPrice10.csv,iPhone 14 ZP/A In Stock now (áž’áž¶áž“áž¶),$Â 979
iphoneModelPrice10.csv,IPhone 14 Pro Max 1T (ZP/A)áž’áž¶áž“áž¶ áŸ¡áž†áŸ’áž“áž¶áŸ†,"$Â 2,029"
iphoneModelPrice10.csv,IPhone 14 Pro Max 512GB (ZP/A) áž’áž¶áž“áž¶ áŸ¡áž†áŸ’áž“áž¶áŸ†,"$Â 1,779"
iphoneModelPrice10.csv,IPhone 14 Pro Max 128GB (ZP/A),"$Â 1,409"
iphoneModelPrice10.csv,IPhone 14 Pro Max 256GB (ZP/A)áž’áž¶áž“áž¶ áŸ¡áž†áŸ’áž“áž¶áŸ†,"$Â 1,529"
iphoneModelPrice10.csv,IPhone 14 Pro Max LL/A (In stock),"$Â 1,299"
iphoneModelPrice10.csv,iPhone 14 Pro Max  128GB ZA/A (In Stock),"$Â 1,339"
iphoneModelPrice10.csv,iPhone 14 Pro ZP/A (256GB) áž’áž¶áž“áž¶ áŸ¡áž†áŸ’áž“áž¶áŸ† (In Stock),"$Â 1,279"
iphoneModelPrice10.csv,iPhone 14 Plus ZP/A áž’áž¶áž“áž¶ áŸ¡áž†áŸ’áž“áž¶áŸ†,"$Â 1,159"
iphoneModelPrice10.csv,iPhone 14 ZA/A (IN STOCK),$Â 999
iphoneModelPrice10.csv,IPhone 13 Pro ZP/A áž’áž¶áž“áž¶ áŸ¡áž†áŸ’áž“áž¶áŸ†,"$Â 1,099"
iphoneModelPrice10.csv,IPhone 13 Pro Max áž’áž¶áž“áž¶ áŸ¡áž†áŸ’áž“áž¶áŸ†,"$Â 1,199"
iphoneModelPrice10.csv,IPhone 13 ZP/A áž’áž¶áž“áž¶ áŸ¡áž†áŸ’áž“áž¶áŸ†,$Â 829
iphoneModelPrice10.csv,iPhone SE (2022),$Â 0
iphoneModelPrice10.csv,iPhone 13 Pro Max,$Â 0
iphoneModelPrice10.csv,iPhone 13 Pro,$Â 0
iphoneModelPrice10.csv,iPhone 13 mini,$Â 0
iphoneModelPrice10.csv,iPhone 13,$Â 0
iphoneModelPrice10.csv,iPhone 12,$Â 0
iphoneModelPrice10.csv,iPhone 12 mini,$Â 0
iphoneModelPrice10.csv,iPhone 11,$Â 0
iphoneModelPrice2.csv,MacBook Pro Chip M2 16.2â€³ (New Arrival),
iphoneModelPrice2.csv,MacBook Pro Chip M2 14.4â€³ (New Arrival),
iphoneModelPrice2.csv,Iphone 14 & 14 Plus (Happy Khmer New Year),
iphoneModelPrice2.csv,Iphone 14 Pro Max ZP/A FalconÂ (Khmer Year Year: OFF OFF),
iphoneModelPrice2.csv,Iphone 14 Pro ZP/A Falcon (Happy Khmer New Year!),
iphoneModelPrice2.csv,Iphone 14 ZP/A Falcon (Happy Khmer New Year!),
iphoneModelPrice2.csv,Ipad Pro 12.9 M2 Falcon (Womenâ€™s Dayâ€™: OFF OFF!),
iphoneModelPrice2.csv,Ipad Pro 11â€³ M2 Falcon (Pro. March: OFF OFF),
iphoneModelPrice2.csv,Ipad 10th Gen Falcon (New Year Pro: OFF $20),
iphoneModelPrice2.csv,Apple Watch Ultra (New Promotion: OFF $80),
iphoneModelPrice2.csv,Apple Watch Serial 8 (New Promotion: OFF-OFF),
iphoneModelPrice2.csv,AirPods 2 (Pro. March: OFF $10),
iphoneModelPrice2.csv,AirPods Pro2 2022 (Pro. March: OFF),
iphoneModelPrice2.csv,Beat Studio Buds (Pro. March OFF: $30),
iphoneModelPrice2.csv,AirPods 3 (New Year Pro: Offer!),
iphoneModelPrice2.csv,AirPods Pro 2021 (Pro. March!),
iphoneModelPrice2.csv,Iphone 14 Plus ZP/A Falcon (Valentineâ€s Pro: OFF OFF),
iphoneModelPrice2.csv,Iphone 13 Pro (Pro. March: OFF $100),
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 14 Pro Max,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$1,299
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 14 Pro,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$1,179
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 14,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$899,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone SE 3,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$529,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 13 Pro Max,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$1,099
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 13 Pro,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$989,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 13,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$779,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 13 mini,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$799,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 12 Pro Max,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 12 Pro,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 12,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$699,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 12 Mini,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$599,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone SE 2020,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 11 Pro Max,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 11 Pro,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,iPhone 11,
iphoneModelPrice3.csv,",",
iphoneModelPrice3.csv,$499,
iphoneModelPrice3.csv,,
iphoneModelPrice3.csv,,
