Samsung Model,Samsung Price
Galaxy A54 5G 128GB|8+8GB (PRE-ORDER),$449
Galaxy A34 5G 128GB|8+8GB (PRE-ORDER),$379
Galaxy A14 5G 128GB|6+6GB,$249
Galaxy A14 128GB|4+4GB,$209
Samsung S Pen Pro,$119
Original Galaxy S23+ S-View Wallet Case,$49
Original Galaxy S23 Ultra Leather Case,$59
Original Galaxy S23 Ultra Silicone Case,$49
Original Galaxy S23 Ultra S-View Wallet Case – Black,$49
Galaxy S23 (In-Stock),$899
Galaxy S23+ (In-Stock),"$1,099"
Galaxy S23 Ultra 256GB|8GB (In-Stock),"$1,299"
Galaxy Tab A7 Book Cover,$49
Galaxy S23 Ultra 1TB|12GB (In-Stock),"$1,499"
Galaxy Tab A7 Lite Book Cover,$25
Galaxy Buds2 (In-Stock),$149
Galaxy S22 Ultra 256GB|12GB (Global Version),$959
Galaxy Tab S8 WiFi Only 128GB|8GB,$668
Galaxy A04e 32GB|3GB,$125
Galaxy A04 32GB|3GB,$139
Galaxy Z Fold4 256GB|12GB,"$1,699"
Galaxy Z Flip4 128GB|8GB,"$1,059"
Galaxy A04s 64GB|4GB,$169
Galaxy Z Flip4 256GB|8GB,"$1,099"
Galaxy A14 5G (In Stock: 010802272),$249.00
Galaxy A14 (In Stock: 010802272),$209.00
Galaxy S23 Ultra 256G (Voucher: $100),"$1,299.00"
Galaxy S23+(Free Voucher $50),"$1,099.00"
Galaxy S23 128G|8G (Free Voucher $50),$899.00
Galaxy S23 Ultra 512G Get 1T (Call: 010802272),"$1,499.00"
Galaxy Z Flip 4​ (Pro. March: OFF $380+Gift),"$1,059.00"
Galaxy Z Fold 4 256G|12 (Pro March: OFF OFF),"$1,699.00"
Galaxy Z Fold 3 5G (Pro. March! OFF: $450+Gift),"$1,699.00"
Galaxy S22​ Ultra 256G|12G (Gllobal Version),$959.00
Galaxy A73 5G SIM2 (Pro. March: OFF: $70),$509.00
Galaxy A53 5G SIM2 (Pro. March: OFF $80),$449.00
Galaxy A33 5G 128G|8G (Pro. March: OFF $50),$369.00
Galaxy A23 128G+6G (Pro. March: OFF $40),$269.00
